,year,Commodity,value
0,2010-01-01,VEHICLES OTHER THAN ,36.95
1,2010-01-01,ELECTRICAL MACHINERY,15.85
2,2010-01-01,"NUCLEAR REACTORS, BO",15.09
3,2010-01-01,ARTICLES OF IRON OR ,8.04
4,2010-01-01,"ARTICLES OF STONE, P",7.94
5,2010-01-01,"COFFEE, TEA, MATE AN",6.46
6,2010-01-01,OTHER MADE UP TEXTIL,5.33
7,2010-01-01,MAN-MADE FILAMENTS.,4.78
8,2010-01-01,PHARMACEUTICAL PRODU,4.01
9,2010-01-01,ARTICLES OF APPAREL ,2.71
10,2011-01-01,"COFFEE, TEA, MATE AN",9.62
11,2011-01-01,SUGARS AND SUGAR CON,8.67
12,2011-01-01,PHARMACEUTICAL PRODU,7.1
13,2011-01-01,VEHICLES OTHER THAN ,6.09
14,2011-01-01,"NUCLEAR REACTORS, BO",4.23
15,2011-01-01,MAN-MADE STAPLE FIBR,4.18
16,2011-01-01,"ARTICLES OF STONE, P",2.45
17,2011-01-01,TOBACCO AND MANUFACT,1.66
18,2011-01-01,COTTON.,1.31
19,2011-01-01,EDIBLE FRUIT AND NUT,1.21
20,2012-01-01,VEHICLES OTHER THAN ,50.3
21,2012-01-01,"ARTICLES OF STONE, P",23.9
22,2012-01-01,"NUCLEAR REACTORS, BO",23.11
23,2012-01-01,PHARMACEUTICAL PRODU,13.72
24,2012-01-01,"COFFEE, TEA, MATE AN",12.52
25,2012-01-01,ALUMINIUM AND ARTICL,10.91
26,2012-01-01,MAN-MADE STAPLE FIBR,10.51
27,2012-01-01,OTHER MADE UP TEXTIL,7.96
28,2012-01-01,TOBACCO AND MANUFACT,7.06
29,2012-01-01,FISH AND CRUSTACEANS,6.98
30,2013-01-01,VEHICLES OTHER THAN ,76.46
31,2013-01-01,"ARTICLES OF STONE, P",46.96
32,2013-01-01,"NUCLEAR REACTORS, BO",27.16
33,2013-01-01,"COFFEE, TEA, MATE AN",17.01
34,2013-01-01,SUGARS AND SUGAR CON,14.86
35,2013-01-01,PHARMACEUTICAL PRODU,12.2
36,2013-01-01,ARTICLES OF APPAREL ,11.23
37,2013-01-01,ORGANIC CHEMICALS,6.3
38,2013-01-01,TOBACCO AND MANUFACT,5.63
39,2013-01-01,EDIBLE VEGETABLES AN,5.6
40,2014-01-01,"ARTICLES OF STONE, P",28.73
41,2014-01-01,"COFFEE, TEA, MATE AN",22.3
42,2014-01-01,TOBACCO AND MANUFACT,18.69
43,2014-01-01,PHARMACEUTICAL PRODU,10.5
44,2014-01-01,VEHICLES OTHER THAN ,10.49
45,2014-01-01,"NUCLEAR REACTORS, BO",9.02
46,2014-01-01,PLASTIC AND ARTICLES,7.17
47,2014-01-01,EDIBLE VEGETABLES AN,6.56
48,2014-01-01,ELECTRICAL MACHINERY,5.91
49,2014-01-01,ARTICLES OF APPAREL ,4.9
50,2015-01-01,"COFFEE, TEA, MATE AN",17.81
51,2015-01-01,PHARMACEUTICAL PRODU,14.9
52,2015-01-01,"ARTICLES OF STONE, P",13.04
53,2015-01-01,CEREALS.,12.84
54,2015-01-01,TOBACCO AND MANUFACT,7.01
55,2015-01-01,ARTICLES OF IRON OR ,6.34
56,2015-01-01,ELECTRICAL MACHINERY,5.03
57,2015-01-01,"NUCLEAR REACTORS, BO",4.76
58,2015-01-01,EDIBLE VEGETABLES AN,4.26
59,2015-01-01,IRON AND STEEL,4.2
60,2016-01-01,ELECTRICAL MACHINERY,18.28
61,2016-01-01,"COFFEE, TEA, MATE AN",17.31
62,2016-01-01,PHARMACEUTICAL PRODU,12.19
63,2016-01-01,"ARTICLES OF STONE, P",11.68
64,2016-01-01,IRON AND STEEL,9.78
65,2016-01-01,TOBACCO AND MANUFACT,8.48
66,2016-01-01,VEHICLES OTHER THAN ,6.99
67,2016-01-01,"NUCLEAR REACTORS, BO",5.51
68,2016-01-01,CEREALS.,4.65
69,2016-01-01,ARTICLES OF IRON OR ,1.94
70,2017-01-01,"COFFEE, TEA, MATE AN",29.32
71,2017-01-01,CEREALS.,24.71
72,2017-01-01,PHARMACEUTICAL PRODU,13.58
73,2017-01-01,VEHICLES OTHER THAN ,7.97
74,2017-01-01,TOBACCO AND MANUFACT,6.7
75,2017-01-01,IRON AND STEEL,5.64
76,2017-01-01,"ARTICLES OF STONE, P",4.06
77,2017-01-01,PLASTIC AND ARTICLES,3.52
78,2017-01-01,ELECTRICAL MACHINERY,3.11
79,2017-01-01,EDIBLE VEGETABLES AN,2.99
80,2018-01-01,"COFFEE, TEA, MATE AN",27.61
81,2018-01-01,"ARTICLES OF STONE, P",18.55
82,2018-01-01,VEHICLES OTHER THAN ,13.5
83,2018-01-01,PHARMACEUTICAL PRODU,12.78
84,2018-01-01,CEREALS.,10.6
85,2018-01-01,IRON AND STEEL,7.72
86,2018-01-01,"NUCLEAR REACTORS, BO",6.81
87,2018-01-01,TOBACCO AND MANUFACT,6.69
88,2018-01-01,EDIBLE VEGETABLES AN,5.46
89,2018-01-01,CERAMIC PRODUCTS.,4.63
90,2019-01-01,ARTICLES OF IRON OR ,25.18
91,2019-01-01,"ARTICLES OF STONE, P",23.99
92,2019-01-01,VEHICLES OTHER THAN ,18.32
93,2019-01-01,"COFFEE, TEA, MATE AN",12.82
94,2019-01-01,CERAMIC PRODUCTS.,12.67
95,2019-01-01,ELECTRICAL MACHINERY,9.69
96,2019-01-01,"NUCLEAR REACTORS, BO",9.36
97,2019-01-01,IRON AND STEEL,8.48
98,2019-01-01,PHARMACEUTICAL PRODU,7.27
99,2019-01-01,TOBACCO AND MANUFACT,7.08
100,2020-01-01,CERAMIC PRODUCTS.,25.17
101,2020-01-01,"COFFEE, TEA, MATE AN",23.01
102,2020-01-01,PHARMACEUTICAL PRODU,14.23
103,2020-01-01,"ARTICLES OF STONE, P",12.48
104,2020-01-01,SUGARS AND SUGAR CON,10.19
105,2020-01-01,VEHICLES OTHER THAN ,10.04
106,2020-01-01,"NUCLEAR REACTORS, BO",6.99
107,2020-01-01,IRON AND STEEL,5.03
108,2020-01-01,ELECTRICAL MACHINERY,4.83
109,2020-01-01,PLASTIC AND ARTICLES,4.81
110,2021-01-01,CERAMIC PRODUCTS.,36.17
111,2021-01-01,VEHICLES OTHER THAN ,27.27
112,2021-01-01,"COFFEE, TEA, MATE AN",26.82
113,2021-01-01,"ARTICLES OF STONE, P",18.17
114,2021-01-01,PHARMACEUTICAL PRODU,16.09
115,2021-01-01,SUGARS AND SUGAR CON,13.34
116,2021-01-01,"NUCLEAR REACTORS, BO",13.33
117,2021-01-01,CEREALS.,12.2
118,2021-01-01,IRON AND STEEL,10.39
119,2021-01-01,PLASTIC AND ARTICLES,8.48
