,year,Commodity,value
0,2010-01-01,PHARMACEUTICAL PRODU,431.93
1,2010-01-01,"SHIPS, BOATS AND FLO",225.42
2,2010-01-01,"COFFEE, TEA, MATE AN",123.98
3,2010-01-01,ELECTRICAL MACHINERY,110.13
4,2010-01-01,"AIRCRAFT, SPACECRAFT",98.54
5,2010-01-01,VEHICLES OTHER THAN ,82.95
6,2010-01-01,MISCELLANEOUS EDIBLE,58.04
7,2010-01-01,TOBACCO AND MANUFACT,42.35
8,2010-01-01,ORGANIC CHEMICALS,39.74
9,2010-01-01,MISCELLANEOUS GOODS.,34.64
10,2011-01-01,PHARMACEUTICAL PRODU,401.1
11,2011-01-01,ELECTRICAL MACHINERY,235.96
12,2011-01-01,"COFFEE, TEA, MATE AN",139.44
13,2011-01-01,MISCELLANEOUS EDIBLE,86.83
14,2011-01-01,"NUCLEAR REACTORS, BO",73.51
15,2011-01-01,IRON AND STEEL,70.48
16,2011-01-01,"LAC; GUMS, RESINS AN",63.71
17,2011-01-01,"AIRCRAFT, SPACECRAFT",61.9
18,2011-01-01,VEHICLES OTHER THAN ,57.46
19,2011-01-01,PLASTIC AND ARTICLES,45.62
20,2012-01-01,PHARMACEUTICAL PRODU,562.46
21,2012-01-01,ELECTRICAL MACHINERY,280.27
22,2012-01-01,"AIRCRAFT, SPACECRAFT",193.62
23,2012-01-01,"COFFEE, TEA, MATE AN",139.03
24,2012-01-01,"NUCLEAR REACTORS, BO",124.08
25,2012-01-01,IRON AND STEEL,119.94
26,2012-01-01,VEHICLES OTHER THAN ,73.4
27,2012-01-01,MISCELLANEOUS EDIBLE,71.46
28,2012-01-01,"LAC; GUMS, RESINS AN",55.37
29,2012-01-01,PLASTIC AND ARTICLES,49.19
30,2013-01-01,PHARMACEUTICAL PRODU,535.89
31,2013-01-01,ELECTRICAL MACHINERY,170.32
32,2013-01-01,IRON AND STEEL,128.14
33,2013-01-01,"COFFEE, TEA, MATE AN",117.93
34,2013-01-01,"NUCLEAR REACTORS, BO",95.88
35,2013-01-01,"AIRCRAFT, SPACECRAFT",73.98
36,2013-01-01,VEHICLES OTHER THAN ,69.23
37,2013-01-01,"LAC; GUMS, RESINS AN",52.96
38,2013-01-01,ARTICLES OF APPAREL ,45.32
39,2013-01-01,EDIBLE FRUIT AND NUT,44.72
40,2014-01-01,PHARMACEUTICAL PRODU,411.16
41,2014-01-01,"NUCLEAR REACTORS, BO",323.4
42,2014-01-01,"COFFEE, TEA, MATE AN",109.68
43,2014-01-01,"AIRCRAFT, SPACECRAFT",98.07
44,2014-01-01,IRON AND STEEL,88.07
